id,addr,area,category,security_deposits,notes,stop
S1033408,高雄市新興區大統段2小段764、765地號, 1993.00(權利範圍198/10000), 第二種特定商業專用區," 307,000 ",1.地上為忠孝一路94巷18之2號(4層樓之第3層)國有房屋、巷道等，另有共同使用部分326建號，面積261.80平方公尺（權利範圍1/51），由交通部航港局按現狀點交，地上物概由得標人自理。,否
S1033408,高雄市新興區大統段2小段1480建號, 62.37, ," 307,000 ",1.地上為忠孝一路94巷18之2號(4層樓之第3層)國有房屋、巷道等，另有共同使用部分326建號，面積261.80平方公尺（權利範圍1/51），由交通部航港局按現狀點交，地上物概由得標人自理。,否
S1033409,高雄市新興區新興段4小段1230地號, 460.00(權利範圍673/10000), 第五種商業區," 565,000 ",1.抵稅房地。,否
S1033409,高雄市新興區新興段4小段2541建號, 133.92, ," 565,000 ",1.抵稅房地。,否
S1033410,高雄市前鎮區瑞隆段1小段548地號, 4.00(權利範圍7/10), 第三種住宅區," 17,000 ",1.抵稅土地。,否
S1033411,高雄市三民區大港段1小段80-411地號, 33.00, 第三種特定商業專用區," 602,000 ",地上為水泥地，地上物概由得標人自理。,否
S1033412,高雄市三民區建興段687-3地號, 64.00(權利範圍99295/100000), 第五種商業區," 804,000 ",1.抵稅地。,否
S1033413,高雄市苓雅區衛武段704地號, 150.00, 第四種住宅區," 1,797,000 ",1.抵稅土地。,否
S1033414,高雄市苓雅區林聖段1892地號, 2160.00(權利範圍3/1000), 第四種住宅區," 54,000 ",1.地上為和平二路254號5樓之17(6層樓之第5層)國有房屋、巷道等，另有共同使用部分1180建號（面積176.82平方公尺，權利範圍298/10000），按現狀辦理點交，地上物概由得標人自理。,否
S1033414,高雄市苓雅區林聖段1019建號, 21.33, ," 54,000 ",1.地上為和平二路254號5樓之17(6層樓之第5層)國有房屋、巷道等，另有共同使用部分1180建號（面積176.82平方公尺，權利範圍298/10000），按現狀辦理點交，地上物概由得標人自理。,否
S1033415,高雄市鳳山區埤頂段2081-1地號, 395.00, 住宅區," 1,972,000 ",地上部份為他人占種果樹、水泥地等，按現狀辦理點交，地上物由得標人自理。,否
S1033416,高雄市鳥松區育仁段91地號, 329.72, 第三種住宅區," 2,710,000 ",1.部分抵稅地。,否
S1033417,高雄市鳥松區大德段1小段30地號, 73.14, 第二種住宅區," 302,000 ",地上為他人占種果樹、花木等，按現狀點交，地上物概由得標人自理。,否
S1033418,高雄市鳥松區美德段188、190地號, 398.79, 農業區," 458,000 ",地上為他人占種芒果、樹木、舖設水泥通道及設電線桿、路燈等，按現狀辦理點交，地上物概由得標人自理。,否
S1033419,高雄市鳥松區仁美段411地號, 133.67, 第一種住宅區," 583,000 ",地上為空地等，地上物概由得標人自理。,否
S1033420,高雄市仁武區澄合段200地號, 614.24, 第二種住宅區," 4,564,000 ",1.抵稅土地。,否
S1033421,高雄市仁武區仁雄段23地號, 1426.29, 第二種住宅區," 9,678,000 ",1.抵稅地。,否
S1033422,高雄市橋頭區筆秀段335、336-1地號, 43.07, 住宅區," 66,000 ",地上為果樹、雜草地、水泥地、電桿等，以書面方式按現狀辦理點交，地上物由得標人自理。,否
S1033423,高雄市湖內區寧靖段573地號, 320.06, 住宅區," 406,000 ",地上部分為他人占搭棚屋、棚架、種果樹等，按現狀辦理點交，地上物概由得標人自理。,否
