id, address, area, category, base price, sale price, competitors count, notes
N1020416, 臺北市萬華區青年段二小段18-39地號, 132(持分192/100000), 第三之ㄧ種住宅區, "35,614,628", , , 
N1020416, 臺北市萬華區青年段一小段711地號, 696(持分192/100000), 第三種住宅區, "35,614,628", , , 
N1020416, 臺北市萬華區青年段一小段711-3地號, 332(持分192/100000), 第三之ㄧ種住宅區, "35,614,628", , , 
N1020417, 臺北市萬華區青年段二小段3498建號, 約159.10, , "35,614,628", , , 
N1020417, 臺北市萬華區青年段二小段18地號, "16,459(持分192/100000)", 第三種住宅區, "35,614,628", , , 
N1020417, 臺北市萬華區青年段二小段18-39地號, 132(持分192/100000), 第三之ㄧ種住宅區, "35,614,628", , , 
N1020417, 臺北市萬華區青年段一小段711地號, 696(持分192/100000), 第三種住宅區, "35,614,628", , , 
N1020417, 臺北市萬華區青年段一小段711-3地號, 332(持分192/100000), 第三之ㄧ種住宅區, "35,614,628", , , 
N1020418, 臺北市萬華區青年段一小段12757建號, 約138.44, , "43,972,025", "51,110,000", 7, 
N1020418, 臺北市萬華區青年段一小段125地號, "3,501(持分410/100000)", 第三之ㄧ種住宅區, "43,972,025", "51,110,000", 7, 
N1020418, 臺北市萬華區青年段一小段124-2地號, "3,725(持分410/100000)", 第三種住宅區, "43,972,025", "51,110,000", 7, 
N1020419, 臺北市萬華區青年段一小段12786建號, 約152.84, , "51,782,029", "54,800,000", 2, 
N1020419, 臺北市萬華區青年段一小段125地號, "3,501(持分453/100000)", 第三之ㄧ種住宅區, "51,782,029", "54,800,000", 2, 
N1020419, 臺北市萬華區青年段一小段124-2地號, "3,725(持分453/100000)", 第三種住宅區, "51,782,029", "54,800,000", 2, 
N1020420, 臺北市萬華區青年段一小段12816建號, 約152.84, , "51,782,029", "55,482,222", 3, 
N1020420, 臺北市萬華區青年段一小段125地號, "3,501(持分453/100000)", 第三之ㄧ種住宅區, "51,782,029", "55,482,222", 3, 
N1020420, 臺北市萬華區青年段一小段124-2地號, "3,725(持分453/100000)", 第三種住宅區, "51,782,029", "55,482,222", 3, 
N1020421, 臺北市萬華區青年段一小段12787建號, 約148.15, , "50,193,125", "52,882,222", 1, 
N1020421, 臺北市萬華區青年段一小段125地號, "3,501(持分439/100000)", 第三之ㄧ種住宅區, "50,193,125", "52,882,222", 1, 
N1020421, 臺北市萬華區青年段一小段124-2地號, "3,725(持分439/100000)", 第三種住宅區, "50,193,125", "52,882,222", 1, 
N1020422, 臺北市萬華區青年段一小段12728建號, 約132.72, , "42,155,048", "46,888,888", 3, 
N1020422, 臺北市萬華區青年段一小段125地號, "3,501(持分393/100000)", 第三之ㄧ種住宅區, "42,155,048", "46,888,888", 3, 
N1020422, 臺北市萬華區青年段一小段124-2地號, "3,725(持分393/100000)", 第三種住宅區, "42,155,048", "46,888,888", 3, 
N1020423, 臺北市萬華區青年段一小段12697建號, 約132.83, , "40,181,024", "40,582,000", 1, 
N1020423, 臺北市萬華區青年段一小段125地號, "3,501(持分393/100000)", 第三之ㄧ種住宅區, "40,181,024", "40,582,000", 1, 
N1020423, 臺北市萬華區青年段一小段124-2地號, "3,725(持分393/100000)", 第三種住宅區, "40,181,024", "40,582,000", 1, 
N1020424, 臺北市萬華區青年段一小段12698建號, 約125.22, , "37,879,123", , , 
N1020424, 臺北市萬華區青年段一小段125地號, "3,501(持分371/100000)", 第三之ㄧ種住宅區, "37,879,123", , , 
N1020424, 臺北市萬華區青年段一小段124-2地號, "3,725(持分371/100000)", 第三種住宅區, "37,879,123", , , 
N1020201, 臺北市中正區城中段一小段00673-000建號, 269.16/(持分1/5), , "11,206,400", "11,233,333", 2, 
N1020201, 臺北市中正區城中段一小段0147-0000地號, 149.00/(持分1/5), 第四種商業區, "11,206,400", "11,233,333", 2, 
